src,dst,product
PRESCRIPTION SUPPLY INC,COMMUNITY PHARMACY #4052 (OH),
JANSSEN PHARMACEUTICALS INC,BELLCO DRUG CORP,
BELLCO DRUG CORP,CVS PHARMACY #5105 (TN),
PRESCRIPTION SUPPLY INC,PEOPLES PHARMACY #4383 (NV),
JANSSEN PHARMACEUTICALS INC,SMITH DRUG COMPANY,
SMITH DRUG COMPANY,MEDICO PHARMACY #7114 (NJ),
SMITH DRUG COMPANY,MAIN STREET PHARMACY #2855 (IN),
BELLCO DRUG CORP,SUNRISE PHARMACY #6542 (PA),
BELLCO DRUG CORP,HOMETOWN PHARMACY #8707 (WV),
ABBOTT LABORATORIES,MCKESSON CORPORATION,
MCKESSON CORPORATION,GOOD NEIGHBOR PHARMACY #3185 (WY),
JANSSEN PHARMACEUTICALS INC,MCKESSON CORPORATION,
MCKESSON CORPORATION,WALMART PHARMACY #2043 (NH),
ENDO PHARMACEUTICALS INC,PENN PHARMACEUTICAL SERVICES INC,
PENN PHARMACEUTICAL SERVICES INC,WALMART PHARMACY #6376 (OH),
VALUEDRUGCO,HOMETOWN PHARMACY #8829 (MS),
KINRAY LLC,CORNER DRUG STORE #4480 (IN),
ANDA INC,SUNRISE PHARMACY #8999 (NC),
QUALITEST PHARMACEUTICALS,BURLINGTON DRUG COMPANY INC,
BURLINGTON DRUG COMPANY INC,MEDICO PHARMACY #9307 (VA),
PRESCRIPTION SUPPLY INC,PUBLIX PHARMACY #3067 (WI),
WATSON LABORATORIES INC,DIRECT RX,
DIRECT RX,PUBLIX PHARMACY #1430 (ID),
MALLINCKRODT LLC,SMITH DRUG COMPANY,
SMITH DRUG COMPANY,WALGREENS #5175 (PA),
ANDA INC,MAIN STREET PHARMACY #1044 (MO),
AMNEAL PHARMACEUTICALS LLC,GULF COAST MEDICAL SUPPLY,
GULF COAST MEDICAL SUPPLY,MAIN STREET PHARMACY #6528 (OH),
PURDUE PHARMA LP,BURLINGTON DRUG COMPANY INC,
BURLINGTON DRUG COMPANY INC,HOMETOWN PHARMACY #6366 (WA),
SANDOZ INC,PENN PHARMACEUTICAL SERVICES INC,
PENN PHARMACEUTICAL SERVICES INC,CVS PHARMACY #2504 (VA),
SMITH DRUG COMPANY,PEOPLES PHARMACY #7557 (OH),
MORRIS & DICKSON CO LLC,WINN-DIXIE PHARMACY #2880 (MI),
NATIONAL WHOLESALE DRUG CO INC,HEALTH MART PHARMACY #8461 (GA),
DIRECT RX,WINN-DIXIE PHARMACY #2902 (IN),
MIAMI-LUKEN INC,FAMILY CARE PHARMACY #1129 (MS),
VINTAGE PHARMACEUTICALS LLC,PENN PHARMACEUTICAL SERVICES INC,
PENN PHARMACEUTICAL SERVICES INC,RITE AID #3349 (TN),
VALUEDRUGCO,FAMILY CARE PHARMACY #5952 (MI),
GULF COAST MEDICAL SUPPLY,PUBLIX PHARMACY #1697 (MI),
PURDUE PHARMA LP,GULF COAST MEDICAL SUPPLY,
GULF COAST MEDICAL SUPPLY,HEALTH MART PHARMACY #9073 (NY),
PAR PHARMACEUTICAL INC,MIAMI-LUKEN INC,
MIAMI-LUKEN INC,CVS PHARMACY #2408 (IN),
SUN PHARMA GLOBAL INC,MORRIS & DICKSON CO LLC,
MORRIS & DICKSON CO LLC,RITE AID #3893 (AZ),
MYLAN PHARMACEUTICALS INC,SMITH DRUG COMPANY,
SMITH DRUG COMPANY,PUBLIX PHARMACY #1697 (MI),
MCKESSON CORPORATION,CVS PHARMACY #1614 (NM),
MALLINCKRODT LLC,MORRIS & DICKSON CO LLC,
MORRIS & DICKSON CO LLC,PEOPLES PHARMACY #6564 (IN),
TEVA PHARMACEUTICALS USA INC,GULF COAST MEDICAL SUPPLY,
GULF COAST MEDICAL SUPPLY,GOOD NEIGHBOR PHARMACY #5339 (PA),
WATSON LABORATORIES INC,CARDINAL HEALTH INC,
CARDINAL HEALTH INC,WINN-DIXIE PHARMACY #6849 (MD),
CADISTA PHARMACEUTICALS INC,MIAMI-LUKEN INC,
MIAMI-LUKEN INC,GOOD NEIGHBOR PHARMACY #1784 (PA),
QUALITEST PHARMACEUTICALS,KEYSOURCE MEDICAL INC,
KEYSOURCE MEDICAL INC,FAMILY CARE PHARMACY #3933 (MO),
VALUEDRUGCO,MAIN STREET PHARMACY #6319 (OH),
LANNETT COMPANY INC,MIAMI-LUKEN INC,
MIAMI-LUKEN INC,QUALITY CARE PHARMACY #6874 (MI),
AMNEAL PHARMACEUTICALS LLC,MIAMI-LUKEN INC,
MIAMI-LUKEN INC,CORNER DRUG STORE #9661 (KY),
LANNETT COMPANY INC,DAKOTA DRUG INC,
DAKOTA DRUG INC,KROGER PHARMACY #2636 (VA),
PURDUE PHARMA LP,ANDA INC,
ANDA INC,QUALITY CARE PHARMACY #2379 (SD),
BURLINGTON DRUG COMPANY INC,COMMUNITY PHARMACY #7344 (LA),
ABBOTT LABORATORIES,HENRY SCHEIN INC,
HENRY SCHEIN INC,HOMETOWN PHARMACY #7488 (TN),
MYLAN PHARMACEUTICALS INC,ANDA INC,
ANDA INC,VILLAGE PHARMACY #8618 (LA),
MYLAN PHARMACEUTICALS INC,MORRIS & DICKSON CO LLC,
MORRIS & DICKSON CO LLC,MEDICO PHARMACY #9648 (MA),
AMERISOURCEBERGEN DRUG CORP,MAIN STREET PHARMACY #3509 (ME),
WATSON LABORATORIES INC,HENRY SCHEIN INC,
HENRY SCHEIN INC,WALMART PHARMACY #1108 (WV),
HIKMA PHARMACEUTICALS,ANDA INC,
ANDA INC,GOOD NEIGHBOR PHARMACY #5417 (HI),
ANDA INC,MAIN STREET PHARMACY #6319 (OH),
PRESCRIPTION SUPPLY INC,CVS PHARMACY #6761 (LA),
BELLCO DRUG CORP,CORNER DRUG STORE #1473 (PA),
MYLAN PHARMACEUTICALS INC,HD SMITH WHOLESALE DRUG CO,
HD SMITH WHOLESALE DRUG CO,WINN-DIXIE PHARMACY #9226 (CT),
HENRY SCHEIN INC,MAIN STREET PHARMACY #6528 (OH),
HENRY SCHEIN INC,CVS PHARMACY #6755 (TN),
DAKOTA DRUG INC,RITE AID #3495 (IL),
PAR PHARMACEUTICAL INC,BURLINGTON DRUG COMPANY INC,
BURLINGTON DRUG COMPANY INC,MEDICO PHARMACY #9453 (TN),
LANNETT COMPANY INC,NATIONAL WHOLESALE DRUG CO INC,
NATIONAL WHOLESALE DRUG CO INC,SUNRISE PHARMACY #8405 (VA),
VINTAGE PHARMACEUTICALS LLC,BURLINGTON DRUG COMPANY INC,
BURLINGTON DRUG COMPANY INC,PEOPLES PHARMACY #6284 (NH),
PENN PHARMACEUTICAL SERVICES INC,WINN-DIXIE PHARMACY #5416 (AL),
MYLAN PHARMACEUTICALS INC,HENRY SCHEIN INC,
HENRY SCHEIN INC,RITE AID #9329 (MN),
PAR PHARMACEUTICAL INC,AMERISOURCEBERGEN DRUG CORP,
AMERISOURCEBERGEN DRUG CORP,QUALITY CARE PHARMACY #5232 (TN),
VINTAGE PHARMACEUTICALS LLC,BELLCO DRUG CORP,
BELLCO DRUG CORP,MEDICO PHARMACY #1621 (MI),
JANSSEN PHARMACEUTICALS INC,DAKOTA DRUG INC,
DAKOTA DRUG INC,VILLAGE PHARMACY #1306 (NJ),
DIRECT RX,HARRIS TEETER PHARMACY #4474 (IN),
IMPAX LABORATORIES INC,VALUEDRUGCO,
VALUEDRUGCO,MAIN STREET PHARMACY #8902 (TN),
HIKMA PHARMACEUTICALS,PRESCRIPTION SUPPLY INC,
PRESCRIPTION SUPPLY INC,GOOD NEIGHBOR PHARMACY #6194 (NH),
QUALITEST PHARMACEUTICALS,HD SMITH WHOLESALE DRUG CO,
HD SMITH WHOLESALE DRUG CO,QUALITY CARE PHARMACY #8747 (MN),
BURLINGTON DRUG COMPANY INC,HARRIS TEETER PHARMACY #6758 (NC),
VALUEDRUGCO,RITE AID #5178 (ND),
PENN PHARMACEUTICAL SERVICES INC,VILLAGE PHARMACY #1823 (TX),
NATIONAL WHOLESALE DRUG CO INC,VILLAGE PHARMACY #6654 (CA),
ABBOTT LABORATORIES,MIAMI-LUKEN INC,
MIAMI-LUKEN INC,SUNRISE PHARMACY #2784 (IN),
MIAMI-LUKEN INC,COMMUNITY PHARMACY #2590 (PA),
KEYSOURCE MEDICAL INC,CVS PHARMACY #1614 (NM),
TEVA PHARMACEUTICALS USA INC,SMITH DRUG COMPANY,
SMITH DRUG COMPANY,CORNER DRUG STORE #6200 (PA),
HD SMITH WHOLESALE DRUG CO,RITE AID #3349 (TN),
ABBOTT LABORATORIES,DIRECT RX,
DIRECT RX,HARRIS TEETER PHARMACY #4161 (CA),
GULF COAST MEDICAL SUPPLY,SUNRISE PHARMACY #6128 (IL),
NATIONAL WHOLESALE DRUG CO INC,PEOPLES PHARMACY #6007 (WV),
NATIONAL WHOLESALE DRUG CO INC,VILLAGE PHARMACY #7086 (IN),
KINRAY LLC,SUNRISE PHARMACY #4273 (OR),
PURDUE PHARMA LP,HD SMITH WHOLESALE DRUG CO,
HD SMITH WHOLESALE DRUG CO,MAIN STREET PHARMACY #4010 (LA),
DAKOTA DRUG INC,COMMUNITY PHARMACY #5731 (WV),
SANDOZ INC,ANDA INC,
ANDA INC,COMMUNITY PHARMACY #9384 (NH),
AMNEAL PHARMACEUTICALS LLC,CARDINAL HEALTH INC,
CARDINAL HEALTH INC,PEOPLES PHARMACY #3259 (MA),
BELLCO DRUG CORP,MAIN STREET PHARMACY #7935 (KY),
IMPAX LABORATORIES INC,CARDINAL HEALTH INC,
CARDINAL HEALTH INC,HEALTH MART PHARMACY #8336 (NE),
BELLCO DRUG CORP,RITE AID #9223 (WV),
DIRECT RX,RITE AID #3607 (MN),
VALUEDRUGCO,PUBLIX PHARMACY #2055 (NC),
BURLINGTON DRUG COMPANY INC,GOOD NEIGHBOR PHARMACY #6272 (NC),
SMITH DRUG COMPANY,RITE AID #9320 (LA),
RHODES TECHNOLOGIES,VALUEDRUGCO,
VALUEDRUGCO,COMMUNITY PHARMACY #4270 (AR),
PAR PHARMACEUTICAL INC,MCKESSON CORPORATION,
MCKESSON CORPORATION,HEALTH MART PHARMACY #4409 (OH),
GULF COAST MEDICAL SUPPLY,KROGER PHARMACY #6580 (OH),
MCKESSON CORPORATION,QUALITY CARE PHARMACY #3905 (TN),
