node_id,role,country,size_hint
BIO-RAD LABORATORIES (FRANCE),vendor,,
Guyana,country,Guyana,
TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,vendor,,
Namibia,country,Namibia,
site::Mylan (formerly Matrix) Nashik,manufacturing_site,,
MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),vendor,,
site::Roche Basel,manufacturing_site,,
S. BUYS WHOLESALER,vendor,,
site::GSK Ware (UK),manufacturing_site,,
"site::Novartis Pharma AG, Switzerland",manufacturing_site,,
IDA FOUNDATION,vendor,,
"site::BI, Ingelheim, Germany",manufacturing_site,,
site::Not Applicable,manufacturing_site,,
ZEPHYR BIOMEDICALS,vendor,,
site::Ipca Dadra/Nagar Haveli IN,manufacturing_site,,
"site::MSD, Haarlem, NL",manufacturing_site,,
Botswana,country,Botswana,
"site::Aspen-OSD, Port Elizabeth, SA",manufacturing_site,,
site::ABBVIE (Abbott) Logis. UK,manufacturing_site,,
site::Gland Pharma Ltd Pally Factory,manufacturing_site,,
Mozambique,country,Mozambique,
site::GSK Aranda,manufacturing_site,,
Kenya,country,Kenya,
site::Hetero Unit III Hyderabad IN,manufacturing_site,,
HETERO LABS LIMITED,vendor,,
site::ABBVIE (Abbott) France,manufacturing_site,,
INTERNATIONAL HEALTHCARE DISTRIBUTORS,vendor,,
"site::Strides, Bangalore, India.",manufacturing_site,,
STRIDES ARCOLAB LIMITED,vendor,,
site::ABBSP,manufacturing_site,,
"site::Cipla, Patalganga, India",manufacturing_site,,
ASPEN PHARMACARE,vendor,,
Kazakhstan,country,Kazakhstan,
site::GSK Cape Town Factory (South Africa),manufacturing_site,,
"site::MSD Midrand, J'burg, SA",manufacturing_site,,
"site::KHB Test Kit Facility, Shanghai China",manufacturing_site,,
"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",vendor,,
site::bioLytical Laboratories,manufacturing_site,,
BIOLYTICAL LABORATORIES INC.,vendor,,
site::Inverness USA,manufacturing_site,,
INVERNESS MEDICAL INNOVATIONS SOUTH AFRICA (PTY) LTD,vendor,,
"site::Boehringer Ing., Koropi, GR",manufacturing_site,,
Uganda,country,Uganda,
ABBOTT LABORATORIES (PUERTO RICO),vendor,,
SUB-SAHARAN BIOMEDICAL P.L.C.,vendor,,
SETEMA LIMITED PLC,vendor,,
site::GSK Crawley,manufacturing_site,,
GLAXOSMITHKLINE EXPORT LIMITED,vendor,,
"site::OMEGA Diagnostics, UK",manufacturing_site,,
OMEGA DIAGNOSTICS LTD,vendor,,
site::Roche Madrid,manufacturing_site,,
Hoffmann-La Roche ltd Basel,vendor,,
Kyrgyzstan,country,Kyrgyzstan,
REINBOLD EXPORT IMPORT,vendor,,
site::BUNDI INTERNATIONAL DIAGNOSTICS LTD,manufacturing_site,,
BUNDI INTERNATIONAL DIAGNOSTICS LTD,vendor,,
site::INVERNESS ORGENICS LINE,manufacturing_site,,
Senegal,country,Senegal,
"site::Novartis Pharma Suffern, USA",manufacturing_site,,
MISSIONPHARMA A/S,vendor,,
Benin,country,Benin,
Lesotho,country,Lesotho,
"site::Micro Labs Ltd. (Brown & Burk), India",manufacturing_site,,
site::Meditab (for Cipla) Daman IN,manufacturing_site,,
"site::Medopharm Malur Factory, INDIA",manufacturing_site,,
PLURIPHARM S.A.,vendor,,
CENTRAL PHARMACEUTICAL COMPANY NO. 1,vendor,,
site::ABBVIE (Abbott) Japan Co. Ltd.,manufacturing_site,,
site::MSD Elkton USA,manufacturing_site,,
"site::Orasure Technologies, Inc USA",manufacturing_site,,
"site::Weifa A.S., Hausmanngt. 6, P.O. Box 9113 GrÃ¸nland, 0133, Oslo, Norway",manufacturing_site,,
AHN (PTY) LTD (AKA UCB (S.A.),vendor,,
KAS MEDICS LIMITED,vendor,,
SCMS from RDC,vendor,,
"site::MSD Manati, Puerto Rico, (USA)",manufacturing_site,,
Pakistan,country,Pakistan,
Swaziland,country,Swaziland,
Ghana,country,Ghana,
Angola,country,Angola,
"site::MSD Patheon, Canada",manufacturing_site,,
Lebanon,country,Lebanon,
Sierra Leone,country,Sierra Leone,
"site::Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",manufacturing_site,,
Cameroon,country,Cameroon,
"site::Alere Medical Co., Ltd.",manufacturing_site,,
South Sudan,country,South Sudan,
Burundi,country,Burundi,
site::Premier Medical Corporation,manufacturing_site,,
PHARMACY DIRECT,vendor,,
site::ABBVIE Labs North Chicago US,manufacturing_site,,
"ABBVIE, SRL (FORMALLY ABBOTT LABORATORIES INTERNATIONAL CO.)",vendor,,
Dominican Republic,country,Dominican Republic,
Malawi,country,Malawi,
"Congo, DRC",country,"Congo, DRC",
"site::Janssen-Cilag, Latina, IT",manufacturing_site,,
EMCURE PHARMACEUTICALS LTD,vendor,,
"site::Aurobindo Unit VII, IN",manufacturing_site,,
"site::Micro labs, Verna, Goa, India",manufacturing_site,,
MICRO LABS LIMITED,vendor,,
"site::Orasure Technologies, Inc",manufacturing_site,,
"site::Mylan,  H-12 & H-13, India",manufacturing_site,,
"site::Hetero, Jadcherla, unit 5, IN",manufacturing_site,,
NOVARTIS PHARMA SERVICES AG,vendor,,
site::Bristol-Myers Squibb Anagni IT,manufacturing_site,,
SWORDS LABORATORIES,vendor,,
IDIS LIMITED,vendor,,
Sudan,country,Sudan,
Mali,country,Mali,
site::Cipla Ltd A-42 MIDC Mahar. IN,manufacturing_site,,
"site::Medochemie Factory A, CY",manufacturing_site,,
AMSTELFARMA B.V.,vendor,,
LAWRENCE LABORATORIES (SUBSIDIARY OF BRISTOL MYERS SQUIBB),vendor,,
site::Boehringer Ingelheim Roxane US,manufacturing_site,,
Guatemala,country,Guatemala,
"site::BMS Evansville, US",manufacturing_site,,
JANSSEN SCIENCES IRELAND UC (FORMERLY JANSSEN R&D IRELAND),vendor,,
"site::GSK, U1, Poznan, Poland",manufacturing_site,,
INVERNESS MEDICAL INNOVATIONS HONG KONG LTD,vendor,,
WAGENIA,vendor,,
BIO-RAD LABORATORIES PTY LTD. (SOUTH AFRICA),vendor,,
"site::Janssen Ortho LLC, Puerto Rico",manufacturing_site,,
ETHNOR DEL ISTMO S.A.,vendor,,
"PUETRO RICO PHARMACEUTICAL, INC.",vendor,,
"MSD LATIN AMERICA SERVICES, S. DE R.L. DE C.V.",vendor,,
"site::Micro Labs, Hosur, India",manufacturing_site,,
Togo,country,Togo,
"site::Remedica, Limassol, Cyprus",manufacturing_site,,
ACOUNS NIGERIA LTD,vendor,,
Afghanistan,country,Afghanistan,
site::INVERNESS ANY,manufacturing_site,,
"site::Guilin OSD site, No 17, China",manufacturing_site,,
IMRES B.V.,vendor,,
"site::Cipla, Kurkumbh, India",manufacturing_site,,
site::GSK Barnard Castle UK,manufacturing_site,,
Liberia,country,Liberia,
THE MEDICAL EXPORT GROUP BV,vendor,,
ACTION MEDEOR E.V.,vendor,,
"site::Gland Pharma, Hyderabad, IN",manufacturing_site,,
Burkina Faso,country,Burkina Faso,
"RAININ INSTRUMENT, LLC.",vendor,,
"site::Access BIO, L.C.",manufacturing_site,,
"ACCESS BIO, INC.",vendor,,
site::Human Diagnostic,manufacturing_site,,
HUMAN GMBH,vendor,,
B&C GROUP S.A.,vendor,,
Guinea,country,Guinea,
site::Mepro Pharm Wadhwan Unit II,manufacturing_site,,
site::Ranbaxy per Shasun Pharma Ltd,manufacturing_site,,
SYSMEX AMERICA INC,vendor,,
site::MedMira Inc.,manufacturing_site,,
MEDMIRA EAST AFRICA LTD.,vendor,,
ABBOTT LOGISTICS B.V.,vendor,,
AUROBINDO PHARAM (SOUTH AFRICA),vendor,,
site::Ranbaxy per Shasun Pharma,manufacturing_site,,
site::Macleods Daman Plant INDIA,manufacturing_site,,
Libya,country,Libya,
Belize,country,Belize,
