src,dst,product
"Trinity Biotech, Plc",Haiti,"HIV 1/2, Capillus HIV Kit"
site::Bio-Rad Laboratories,BIO-RAD LABORATORIES (FRANCE),"HIV, Genie II HIV-1/HIV-2 Kit"
BIO-RAD LABORATORIES (FRANCE),Côte d'Ivoire,"HIV, Genie II HIV-1/HIV-2 Kit"
"Standard Diagnostics, Inc.",Côte d'Ivoire,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included"
"Orgenics, Ltd",Guyana,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs"
"site::Trinity Biotech, Plc",TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,"HIV 1/2, Capillus HIV Kit"
TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,Ethiopia,"HIV 1/2, Capillus HIV Kit"
"Orgenics, Ltd",Zimbabwe,"HIV 1/2, Determine HIV Kit, without Lancets"
"Orgenics, Ltd",Namibia,"HIV 1/2, Determine HIV Kit, without Lancets"
site::Mylan (formerly Matrix) Nashik,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Efavirenz
MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Vietnam,Efavirenz
site::Roche Basel,S. BUYS WHOLESALER,Saquinavir
S. BUYS WHOLESALER,South Africa,Saquinavir
"site::BMS Meymac, France",S. BUYS WHOLESALER,Stavudine
S. BUYS WHOLESALER,South Africa,Stavudine
BRISTOL-MYERS SQUIBB,Vietnam,Didanosine
"site::BMS Meymac, France",S. BUYS WHOLESALER,Didanosine
S. BUYS WHOLESALER,South Africa,Didanosine
"Orgenics, Ltd",Nigeria,"HIV 1/2, Determine HIV Kit, without Lancets"
"site::Trinity Biotech, Plc",TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,"HIV 1/2, Uni-Gold HIV Kit"
TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,Ethiopia,"HIV 1/2, Uni-Gold HIV Kit"
site::Mylan (formerly Matrix) Nashik,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Tenofovir Disoproxil Fumarate
MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Vietnam,Tenofovir Disoproxil Fumarate
"site::BMS Meymac, France",S. BUYS WHOLESALER,Didanosine EC
S. BUYS WHOLESALER,South Africa,Didanosine EC
"site::BMS Meymac, France",BRISTOL-MYERS SQUIBB,Didanosine EC
BRISTOL-MYERS SQUIBB,Tanzania,Didanosine EC
site::GSK Ware (UK),S. BUYS WHOLESALER,Abacavir
S. BUYS WHOLESALER,South Africa,Abacavir
"site::Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine
Aurobindo Pharma Limited,Vietnam,Lamivudine
"site::Novartis Pharma AG, Switzerland",IDA FOUNDATION,Artemether/Lumefantrine
IDA FOUNDATION,Nigeria,Artemether/Lumefantrine
"site::BI, Ingelheim, Germany",S. BUYS WHOLESALER,Nevirapine
S. BUYS WHOLESALER,South Africa,Nevirapine
site::Not Applicable,ZEPHYR BIOMEDICALS,Malaria Paramax-3 Kit
ZEPHYR BIOMEDICALS,Guyana,Malaria Paramax-3 Kit
"Orgenics, Ltd",Zambia,"HIV 1/2, Determine HIV Kit, without Lancets"
"Trinity Biotech, Plc",Namibia,"HIV 1/2, Uni-Gold HIV Kit"
site::Ipca Dadra/Nagar Haveli IN,IDA FOUNDATION,Artesunate+Amodiaquine
IDA FOUNDATION,Côte d'Ivoire,Artesunate+Amodiaquine
"site::MSD, Haarlem, NL",MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate
MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Nigeria,Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate
"site::Trinity Biotech, Plc","Trinity Biotech, Plc","HIV 1, Uni-Gold Recombigen HIV Control, Vial 2 x 0.5 ml"
"Trinity Biotech, Plc",Botswana,"HIV 1, Uni-Gold Recombigen HIV Control, Vial 2 x 0.5 ml"
"Standard Diagnostics, Inc.",Zambia,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included"
"site::Aspen-OSD, Port Elizabeth, SA",S. BUYS WHOLESALER,Tenofovir Disoproxil Fumarate
S. BUYS WHOLESALER,South Africa,Tenofovir Disoproxil Fumarate
site::ABBVIE (Abbott) Logis. UK,S. BUYS WHOLESALER,Lopinavir/Ritonavir
S. BUYS WHOLESALER,South Africa,Lopinavir/Ritonavir
MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Tanzania,Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate
site::Gland Pharma Ltd Pally Factory,IDA FOUNDATION,Quinine (as dihydrochloride)
IDA FOUNDATION,Côte d'Ivoire,Quinine (as dihydrochloride)
"Trinity Biotech, Plc",Mozambique,"HIV 1/2, Uni-Gold HIV Kit"
"site::Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine/Zidovudine
Aurobindo Pharma Limited,Vietnam,Lamivudine/Zidovudine
"site::Cipla, Goa, India",CIPLA LIMITED,Lamivudine/Nevirapine/Stavudine
CIPLA LIMITED,Vietnam,Lamivudine/Nevirapine/Stavudine
site::ABBVIE (Abbott) Logis. UK,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Tanzania,Lopinavir/Ritonavir
BRISTOL-MYERS SQUIBB,Nigeria,Didanosine EC
BRISTOL-MYERS SQUIBB,Haiti,Didanosine
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Haiti,Lopinavir/Ritonavir
"site::Aurobindo Unit III, India",S. BUYS WHOLESALER,Efavirenz
S. BUYS WHOLESALER,South Africa,Efavirenz
"site::Cipla, Goa, India",S. BUYS WHOLESALER,Efavirenz
"site::Aurobindo Unit III, India",S. BUYS WHOLESALER,Zidovudine
S. BUYS WHOLESALER,South Africa,Zidovudine
site::GSK Mississauga (Canada),S. BUYS WHOLESALER,Lamivudine
S. BUYS WHOLESALER,South Africa,Lamivudine
"site::Aurobindo Unit III, India",S. BUYS WHOLESALER,Stavudine
"site::Aurobindo Unit III, India",S. BUYS WHOLESALER,Lamivudine
site::ABBVIE Ludwigshafen Germany,S. BUYS WHOLESALER,Lopinavir/Ritonavir
site::GSK Aranda,S. BUYS WHOLESALER,Zidovudine
Orasure Technologies Inc.,Botswana,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit"
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Côte d'Ivoire,Lopinavir/Ritonavir
site::ABBVIE (Abbott) Logis. UK,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Ritonavir
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Côte d'Ivoire,Ritonavir
"site::Aspen-OSD, Port Elizabeth, SA",S. BUYS WHOLESALER,Emtricitabine/Tenofovir Disoproxil Fumarate
S. BUYS WHOLESALER,South Africa,Emtricitabine/Tenofovir Disoproxil Fumarate
site::Inverness Japan,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit"
"Orgenics, Ltd",Kenya,"HIV 1/2, Determine Complete HIV Kit"
"Orgenics, Ltd",Nigeria,"HIV 1/2, Determine Complete HIV Kit"
site::Hetero Unit III Hyderabad IN,HETERO LABS LIMITED,Efavirenz
HETERO LABS LIMITED,Rwanda,Efavirenz
site::ABBVIE (Abbott) France,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Ritonavir
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Vietnam,Ritonavir
"site::Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine/Nevirapine/Zidovudine
Aurobindo Pharma Limited,Vietnam,Lamivudine/Nevirapine/Zidovudine
site::Chembio Diagnostics Sys. Inc.,"Orgenics, Ltd","HIV 1/2, Clearview Complete Kit"
"Orgenics, Ltd",Namibia,"HIV 1/2, Clearview Complete Kit"
site::ABBVIE (Abbott) Logis. UK,S. BUYS WHOLESALER,Ritonavir
S. BUYS WHOLESALER,South Africa,Ritonavir
Orasure Technologies Inc.,Côte d'Ivoire,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit"
site::ABBVIE (Abbott) St. P'burg USA,INTERNATIONAL HEALTHCARE DISTRIBUTORS,Lopinavir/Ritonavir
INTERNATIONAL HEALTHCARE DISTRIBUTORS,Zimbabwe,Lopinavir/Ritonavir
Aurobindo Pharma Limited,Nigeria,Lamivudine
CIPLA LIMITED,Vietnam,Lamivudine/Zidovudine
"site::Strides, Bangalore, India.",STRIDES ARCOLAB LIMITED,Stavudine
STRIDES ARCOLAB LIMITED,Vietnam,Stavudine
"Trinity Biotech, Plc",Guyana,"HIV 1/2, Uni-Gold HIV Kit"
site::ABBSP,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Mozambique,Lopinavir/Ritonavir
"site::Cipla, Goa, India",CIPLA LIMITED,Efavirenz
CIPLA LIMITED,Rwanda,Efavirenz
"site::Cipla, Patalganga, India",CIPLA LIMITED,Abacavir
CIPLA LIMITED,Rwanda,Abacavir
Abbott GmbH & Co. KG,Ethiopia,"HIV 1/2, Determine Complete HIV Kit"
BIO-RAD LABORATORIES (FRANCE),Nigeria,"HIV, Genie II HIV-1/HIV-2 Kit"
Aurobindo Pharma Limited,Vietnam,Zidovudine
"site::Aurobindo Unit III, India",Aurobindo Pharma Limited,Efavirenz
Aurobindo Pharma Limited,Vietnam,Efavirenz
"site::Aspen-OSD, Port Elizabeth, SA",ASPEN PHARMACARE,Tenofovir Disoproxil Fumarate
ASPEN PHARMACARE,Rwanda,Tenofovir Disoproxil Fumarate
site::ABBVIE (Abbott) Logis. UK,"JSI R&T INSTITUTE, INC.",Lopinavir/Ritonavir
"JSI R&T INSTITUTE, INC.",South Africa,Lopinavir/Ritonavir
"site::BMS Meymac, France","JSI R&T INSTITUTE, INC.",Didanosine EC
"JSI R&T INSTITUTE, INC.",South Africa,Didanosine EC
site::Mylan (formerly Matrix) Nashik,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Abacavir
MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Rwanda,Abacavir
Orasure Technologies Inc.,Kazakhstan,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit"
"Trinity Biotech, Plc",Botswana,"HIV 1/2, Uni-Gold HIV Kit"
"Orgenics, Ltd",Zambia,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs"
"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Côte d'Ivoire,"HIV 1/2, Stat-Pak HIV, Kit"
"Orgenics, Ltd",Mozambique,"HIV 1/2, Determine HIV Kit, without Lancets"
"Orgenics, Ltd",Côte d'Ivoire,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs"
"Orgenics, Ltd",Côte d'Ivoire,"HIV 1/2, Determine HIV Kit, without Lancets"
"Orgenics, Ltd",Guyana,"HIV 1/2, Determine HIV Kit, without Lancets"
"Orgenics, Ltd",Zimbabwe,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs"
site::ABBVIE (Abbott) France,S. BUYS WHOLESALER,Ritonavir
site::GSK Cape Town Factory (South Africa),S. BUYS WHOLESALER,Lamivudine
"Trinity Biotech, Plc",Rwanda,"HIV 1/2, Capillus HIV Kit"
Aurobindo Pharma Limited,Rwanda,Lamivudine/Nevirapine/Zidovudine
"site::MSD Midrand, J'burg, SA",S. BUYS WHOLESALER,Efavirenz
"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Ethiopia,"HIV 1/2, Stat-Pak HIV, Kit"
"site::KHB Test Kit Facility, Shanghai China","SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody"
"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",Ethiopia,"HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody"
site::bioLytical Laboratories,BIOLYTICAL LABORATORIES INC.,"HIV 1/2, INSTI HIV Antibody Individual POC, 1 Test"
BIOLYTICAL LABORATORIES INC.,Zimbabwe,"HIV 1/2, INSTI HIV Antibody Individual POC, 1 Test"
site::GSK Mississauga (Canada),S. BUYS WHOLESALER,Zidovudine
site::Inverness USA,INVERNESS MEDICAL INNOVATIONS SOUTH AFRICA (PTY) LTD,"HIV 1/2, Clearview Complete Kit"
INVERNESS MEDICAL INNOVATIONS SOUTH AFRICA (PTY) LTD,Namibia,"HIV 1/2, Clearview Complete Kit"
"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Guyana,"HIV 1/2, Stat-Pak HIV, Kit"
Aurobindo Pharma Limited,Haiti,Zidovudine
"Orgenics, Ltd",Mozambique,"HIV 1/2, Determine Complete HIV Kit"
"site::Aurobindo Unit III, India",S. BUYS WHOLESALER,Nevirapine
"site::Boehringer Ing., Koropi, GR",S. BUYS WHOLESALER,Nevirapine
BRISTOL-MYERS SQUIBB,Uganda,Didanosine EC
site::GSK Ware (UK),S. BUYS WHOLESALER,Zidovudine
"Orgenics, Ltd",Guyana,"HIV 1/2, Determine Complete HIV Kit"
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Nigeria,Lopinavir/Ritonavir
"Trinity Biotech, Plc",Kenya,"HIV 1/2, Uni-Gold HIV Kit"
site::Mylan (formerly Matrix) Nashik,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Lamivudine/Nevirapine/Zidovudine
MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Rwanda,Lamivudine/Nevirapine/Zidovudine
"site::Aurobindo Unit III, India",Aurobindo Pharma Limited,Didanosine
Aurobindo Pharma Limited,Vietnam,Didanosine
"site::Cipla, Goa, India",CIPLA LIMITED,Lamivudine/Stavudine
CIPLA LIMITED,Namibia,Lamivudine/Stavudine
"Orgenics, Ltd",Zambia,"HIV 1/2, Determine Complete HIV Kit"
site::ABBVIE Ludwigshafen Germany,ABBOTT LABORATORIES (PUERTO RICO),Lopinavir/Ritonavir
ABBOTT LABORATORIES (PUERTO RICO),Guyana,Lopinavir/Ritonavir
site::Not Applicable,"Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit"
"site::Aurobindo Unit III, India",Aurobindo Pharma Limited,Abacavir
Aurobindo Pharma Limited,Zambia,Abacavir
Aurobindo Pharma Limited,Zambia,Lamivudine/Zidovudine
Aurobindo Pharma Limited,Nigeria,Nevirapine
Aurobindo Pharma Limited,Zambia,Efavirenz
"site::Cipla, Goa, India",CIPLA LIMITED,Lamivudine
CIPLA LIMITED,Vietnam,Lamivudine
BRISTOL-MYERS SQUIBB,Zambia,Didanosine
site::Not Applicable,"Orgenics, Ltd","HIV 1/2, Clearview Complete Kit"
site::GSK Mississauga (Canada),"JSI R&T INSTITUTE, INC.",Lamivudine
"JSI R&T INSTITUTE, INC.",South Africa,Lamivudine
"site::Aspen-OSD, Port Elizabeth, SA","JSI R&T INSTITUTE, INC.",Tenofovir Disoproxil Fumarate
"JSI R&T INSTITUTE, INC.",South Africa,Tenofovir Disoproxil Fumarate
"site::Aspen-OSD, Port Elizabeth, SA","JSI R&T INSTITUTE, INC.",Emtricitabine/Tenofovir Disoproxil Fumarate
"JSI R&T INSTITUTE, INC.",South Africa,Emtricitabine/Tenofovir Disoproxil Fumarate
"Trinity Biotech, Plc",Rwanda,"HIV 1/2, Uni-Gold HIV Kit"
"site::MSD Midrand, J'burg, SA","JSI R&T INSTITUTE, INC.",Efavirenz
"JSI R&T INSTITUTE, INC.",South Africa,Efavirenz
site::ABBVIE (Abbott) Logis. UK,"JSI R&T INSTITUTE, INC.",Ritonavir
"JSI R&T INSTITUTE, INC.",South Africa,Ritonavir
site::Inverness Japan,SUB-SAHARAN BIOMEDICAL P.L.C.,"HIV 1/2, Determine Complete HIV Kit"
SUB-SAHARAN BIOMEDICAL P.L.C.,Ethiopia,"HIV 1/2, Determine Complete HIV Kit"
"Orgenics, Ltd",Mozambique,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs"
"Orgenics, Ltd",Uganda,"HIV 1/2, Determine HIV Kit, without Lancets"
Aurobindo Pharma Limited,Vietnam,Abacavir
"Orgenics, Ltd",Botswana,"HIV 1/2, Determine HIV Kit, without Lancets"
"Orgenics, Ltd",Botswana,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs"
site::Chembio Diagnostics Sys. Inc.,SETEMA LIMITED PLC,"HIV 1/2, Stat-Pak HIV, Kit"
SETEMA LIMITED PLC,Ethiopia,"HIV 1/2, Stat-Pak HIV, Kit"
"site::Cipla, Goa, India",S. BUYS WHOLESALER,Nevirapine
site::Inverness Japan,"Orgenics, Ltd","HIV 1/2, Clearview Complete Kit"
Abbott GmbH & Co. KG,Mozambique,"HIV 1/2, Determine Complete HIV Kit"
"Orgenics, Ltd",Namibia,"HIV 1/2, Determine Complete HIV Kit"
"Trinity Biotech, Plc",Tanzania,"HIV 1/2, Uni-Gold HIV Kit"
site::Inverness Japan,INVERNESS MEDICAL INNOVATIONS SOUTH AFRICA (PTY) LTD,"HIV 1/2, Determine HIV Kit, without Lancets"
INVERNESS MEDICAL INNOVATIONS SOUTH AFRICA (PTY) LTD,Namibia,"HIV 1/2, Determine HIV Kit, without Lancets"
site::Mylan (formerly Matrix) Nashik,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Zidovudine
MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Vietnam,Zidovudine
"Orgenics, Ltd",Rwanda,"HIV 1/2, Determine HIV Kit, without Lancets"
site::GSK Crawley,S. BUYS WHOLESALER,Zidovudine
site::GSK Ware (UK),GLAXOSMITHKLINE EXPORT LIMITED,Abacavir/Lamivudine/Zidovudine
GLAXOSMITHKLINE EXPORT LIMITED,Côte d'Ivoire,Abacavir/Lamivudine/Zidovudine
"site::OMEGA Diagnostics, UK",OMEGA DIAGNOSTICS LTD,"HIV 1/2, Visitect Kit"
OMEGA DIAGNOSTICS LTD,Côte d'Ivoire,"HIV 1/2, Visitect Kit"
Aurobindo Pharma Limited,Uganda,Lamivudine/Zidovudine
site::Roche Madrid,Hoffmann-La Roche ltd Basel,Nelfinavir (as mesilate)
Hoffmann-La Roche ltd Basel,Vietnam,Nelfinavir (as mesilate)
Abbott GmbH & Co. KG,Zambia,"HIV 1/2, Determine Complete HIV Kit"
"site::BMS Meymac, France",BRISTOL-MYERS SQUIBB,Stavudine
BRISTOL-MYERS SQUIBB,Côte d'Ivoire,Stavudine
site::GSK Aranda,"JSI R&T INSTITUTE, INC.",Zidovudine
CIPLA LIMITED,Rwanda,Lamivudine/Nevirapine/Stavudine
"site::BI, Ingelheim, Germany","JSI R&T INSTITUTE, INC.",Nevirapine
"JSI R&T INSTITUTE, INC.",South Africa,Nevirapine
site::Not Applicable,"Orgenics, Ltd","HIV 1/2, DoubleCheck II Kit"
"Orgenics, Ltd",Kyrgyzstan,"HIV 1/2, DoubleCheck II Kit"
"Orgenics, Ltd",Namibia,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs"
site::Inverness Japan,REINBOLD EXPORT IMPORT,"HIV 1/2, Determine Complete HIV Kit"
REINBOLD EXPORT IMPORT,Haiti,"HIV 1/2, Determine Complete HIV Kit"
site::BUNDI INTERNATIONAL DIAGNOSTICS LTD,BUNDI INTERNATIONAL DIAGNOSTICS LTD,"HIV 1/2, Bundi Rapid HIV Kit"
BUNDI INTERNATIONAL DIAGNOSTICS LTD,Nigeria,"HIV 1/2, Bundi Rapid HIV Kit"
site::Inverness Japan,"Orgenics, Ltd","HIV, Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs"
"Orgenics, Ltd",Ethiopia,"HIV, Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs"
site::INVERNESS ORGENICS LINE,"Orgenics, Ltd","HIV 1/2, ImmunoComb TriSpot Ag - Ab Kit"
"Orgenics, Ltd",Senegal,"HIV 1/2, ImmunoComb TriSpot Ag - Ab Kit"
"site::Novartis Pharma Suffern, USA",MISSIONPHARMA A/S,Artemether/Lumefantrine
MISSIONPHARMA A/S,Nigeria,Artemether/Lumefantrine
site::Roche Basel,Hoffmann-La Roche ltd Basel,Saquinavir
Hoffmann-La Roche ltd Basel,Tanzania,Saquinavir
"site::Standard Diagnostics, Korea","Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit (no accessories)"
"Standard Diagnostics, Inc.",Côte d'Ivoire,"HIV 1/2, Bioline 3.0 Kit (no accessories)"
Aurobindo Pharma Limited,Côte d'Ivoire,Lamivudine
Aurobindo Pharma Limited,Côte d'Ivoire,Stavudine
Aurobindo Pharma Limited,Guyana,Stavudine
SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Uganda,Lamivudine
Aurobindo Pharma Limited,Zambia,Nevirapine
Abbott GmbH & Co. KG,Guyana,"HIV 1/2, Determine Complete HIV Kit"
"Trinity Biotech, Plc",Nigeria,"HIV 1/2, Uni-Gold HIV Kit"
Orasure Technologies Inc.,Nigeria,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit"
"Trinity Biotech, Plc",Tanzania,"HIV 1/2, Capillus HIV Kit"
"Orgenics, Ltd",Haiti,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs"
site::ABBVIE (Abbott) France,"JSI R&T INSTITUTE, INC.",Ritonavir
"Orgenics, Ltd",Benin,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs"
"Orgenics, Ltd",Benin,"HIV 1/2, Determine HIV Kit, without Lancets"
Orasure Technologies Inc.,Lesotho,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit"
"Orgenics, Ltd",Uganda,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs"
