anomaly_idx,manufacturer,retailer,anomaly_score,match_rank,match_distance,match_recovery_days,match_response_type,match_disruption_type,match_industry
5,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
6,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
6,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
6,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
7,TEVA PHARMACEUTICALS USA INC,PEOPLES PHARMACY #2660 (NC),3,1,0.8823,74.0,Alternative Supplier,Cyber Attack,Automotive
7,TEVA PHARMACEUTICALS USA INC,PEOPLES PHARMACY #2660 (NC),3,2,0.9256,55.0,Alternative Supplier,Natural Disaster,Electronics
7,TEVA PHARMACEUTICALS USA INC,PEOPLES PHARMACY #2660 (NC),3,3,1.0486,88.0,Alternative Supplier,Natural Disaster,Automotive
8,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
8,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
8,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
9,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
9,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
9,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
10,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
10,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
10,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
11,SANDOZ INC,SUNRISE PHARMACY #7243 (WV),3,1,0.8823,74.0,Alternative Supplier,Cyber Attack,Automotive
11,SANDOZ INC,SUNRISE PHARMACY #7243 (WV),3,2,0.9256,55.0,Alternative Supplier,Natural Disaster,Electronics
11,SANDOZ INC,SUNRISE PHARMACY #7243 (WV),3,3,1.0486,88.0,Alternative Supplier,Natural Disaster,Automotive
12,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,1,0.0876,135.0,Production Reroute,Geopolitical,Consumer Goods
12,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,2,0.3241,151.0,Production Reroute,Cyber Attack,Automotive
12,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,3,0.3372,89.0,Combined Strategy,Geopolitical,Consumer Goods
13,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),4,1,0.0876,135.0,Production Reroute,Geopolitical,Consumer Goods
13,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),4,2,0.3241,151.0,Production Reroute,Cyber Attack,Automotive
13,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),4,3,0.3372,89.0,Combined Strategy,Geopolitical,Consumer Goods
14,ENDO PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
14,ENDO PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
14,ENDO PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
15,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
15,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
15,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
16,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
16,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
16,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
17,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
17,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
17,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
18,PAR PHARMACEUTICAL INC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
18,PAR PHARMACEUTICAL INC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
18,PAR PHARMACEUTICAL INC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
19,SUN PHARMA GLOBAL INC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
19,SUN PHARMA GLOBAL INC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
19,SUN PHARMA GLOBAL INC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
20,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
20,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
20,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
21,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
21,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
21,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
22,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),4,1,0.0876,135.0,Production Reroute,Geopolitical,Consumer Goods
22,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),4,2,0.3241,151.0,Production Reroute,Cyber Attack,Automotive
22,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),4,3,0.3372,89.0,Combined Strategy,Geopolitical,Consumer Goods
23,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,1,0.0876,135.0,Production Reroute,Geopolitical,Consumer Goods
23,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,2,0.3241,151.0,Production Reroute,Cyber Attack,Automotive
23,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,3,0.3372,89.0,Combined Strategy,Geopolitical,Consumer Goods
24,PAR PHARMACEUTICAL INC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
24,PAR PHARMACEUTICAL INC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
24,PAR PHARMACEUTICAL INC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
25,QUALITEST PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
25,QUALITEST PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
25,QUALITEST PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
26,PAR PHARMACEUTICAL INC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
26,PAR PHARMACEUTICAL INC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
26,PAR PHARMACEUTICAL INC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
27,IMPAX LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
27,IMPAX LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
27,IMPAX LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
28,WATSON LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
28,WATSON LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
28,WATSON LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
29,JANSSEN PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
29,JANSSEN PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
29,JANSSEN PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
30,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
30,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
30,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
31,RHODES TECHNOLOGIES,QUALITY CARE PHARMACY #9423 (NM),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
31,RHODES TECHNOLOGIES,QUALITY CARE PHARMACY #9423 (NM),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
31,RHODES TECHNOLOGIES,QUALITY CARE PHARMACY #9423 (NM),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
32,ABBOTT LABORATORIES,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
32,ABBOTT LABORATORIES,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
32,ABBOTT LABORATORIES,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
33,PURDUE PHARMA LP,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
33,PURDUE PHARMA LP,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
33,PURDUE PHARMA LP,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
34,ENDO PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
34,ENDO PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
34,ENDO PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
35,SANDOZ INC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
35,SANDOZ INC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
35,SANDOZ INC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
36,WATSON LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
36,WATSON LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
36,WATSON LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
37,WATSON LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
37,WATSON LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
37,WATSON LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
38,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),4,1,0.0876,135.0,Production Reroute,Geopolitical,Consumer Goods
38,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),4,2,0.3241,151.0,Production Reroute,Cyber Attack,Automotive
38,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),4,3,0.3372,89.0,Combined Strategy,Geopolitical,Consumer Goods
39,VINTAGE PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
39,VINTAGE PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
39,VINTAGE PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
40,TEVA PHARMACEUTICALS USA INC,CVS PHARMACY #9401 (NY),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
40,TEVA PHARMACEUTICALS USA INC,CVS PHARMACY #9401 (NY),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
40,TEVA PHARMACEUTICALS USA INC,CVS PHARMACY #9401 (NY),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
41,MYLAN PHARMACEUTICALS INC,SUNRISE PHARMACY #7243 (WV),2,1,1.7338,74.0,Alternative Supplier,Cyber Attack,Automotive
41,MYLAN PHARMACEUTICALS INC,SUNRISE PHARMACY #7243 (WV),2,2,1.7771,55.0,Alternative Supplier,Natural Disaster,Electronics
41,MYLAN PHARMACEUTICALS INC,SUNRISE PHARMACY #7243 (WV),2,3,1.9606,28.0,Alternative Supplier,Natural Disaster,Electronics
42,MYLAN PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
42,MYLAN PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
42,MYLAN PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
43,SANDOZ INC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
43,SANDOZ INC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
43,SANDOZ INC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
44,VINTAGE PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
44,VINTAGE PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
44,VINTAGE PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
45,SUN PHARMA GLOBAL INC,HOMETOWN PHARMACY #8469 (NC),2,1,1.7338,74.0,Alternative Supplier,Cyber Attack,Automotive
45,SUN PHARMA GLOBAL INC,HOMETOWN PHARMACY #8469 (NC),2,2,1.7771,55.0,Alternative Supplier,Natural Disaster,Electronics
45,SUN PHARMA GLOBAL INC,HOMETOWN PHARMACY #8469 (NC),2,3,1.9606,28.0,Alternative Supplier,Natural Disaster,Electronics
46,QUALITEST PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
46,QUALITEST PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
46,QUALITEST PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
47,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,1,0.0876,135.0,Production Reroute,Geopolitical,Consumer Goods
47,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,2,0.3241,151.0,Production Reroute,Cyber Attack,Automotive
47,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,3,0.3372,89.0,Combined Strategy,Geopolitical,Consumer Goods
48,PAR PHARMACEUTICAL INC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
48,PAR PHARMACEUTICAL INC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
48,PAR PHARMACEUTICAL INC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
49,ENDO PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,1,0.0876,135.0,Production Reroute,Geopolitical,Consumer Goods
49,ENDO PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,2,0.3241,151.0,Production Reroute,Cyber Attack,Automotive
49,ENDO PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,3,0.3372,89.0,Combined Strategy,Geopolitical,Consumer Goods
50,IMPAX LABORATORIES INC,PEOPLES PHARMACY #4809 (WV),2,1,1.7338,74.0,Alternative Supplier,Cyber Attack,Automotive
50,IMPAX LABORATORIES INC,PEOPLES PHARMACY #4809 (WV),2,2,1.7771,55.0,Alternative Supplier,Natural Disaster,Electronics
50,IMPAX LABORATORIES INC,PEOPLES PHARMACY #4809 (WV),2,3,1.9606,28.0,Alternative Supplier,Natural Disaster,Electronics
51,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),4,1,0.0876,135.0,Production Reroute,Geopolitical,Consumer Goods
51,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),4,2,0.3241,151.0,Production Reroute,Cyber Attack,Automotive
51,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),4,3,0.3372,89.0,Combined Strategy,Geopolitical,Consumer Goods
52,PURDUE PHARMA LP,COMMUNITY PHARMACY #9436 (WV),3,1,0.8823,74.0,Alternative Supplier,Cyber Attack,Automotive
52,PURDUE PHARMA LP,COMMUNITY PHARMACY #9436 (WV),3,2,0.9256,55.0,Alternative Supplier,Natural Disaster,Electronics
52,PURDUE PHARMA LP,COMMUNITY PHARMACY #9436 (WV),3,3,1.0486,88.0,Alternative Supplier,Natural Disaster,Automotive
53,TEVA PHARMACEUTICALS USA INC,CVS PHARMACY #6466 (KY),4,1,0.1972,88.0,Alternative Supplier,Natural Disaster,Automotive
53,TEVA PHARMACEUTICALS USA INC,CVS PHARMACY #6466 (KY),4,2,0.3113,140.0,Alternative Supplier,Natural Disaster,Electronics
53,TEVA PHARMACEUTICALS USA INC,CVS PHARMACY #6466 (KY),4,3,0.3641,114.0,Alternative Supplier,Natural Disaster,Pharmaceuticals
54,ABBOTT LABORATORIES,CVS PHARMACY #3187 (KY),3,1,0.8823,74.0,Alternative Supplier,Cyber Attack,Automotive
54,ABBOTT LABORATORIES,CVS PHARMACY #3187 (KY),3,2,0.9256,55.0,Alternative Supplier,Natural Disaster,Electronics
54,ABBOTT LABORATORIES,CVS PHARMACY #3187 (KY),3,3,1.0486,88.0,Alternative Supplier,Natural Disaster,Automotive
55,ABBOTT LABORATORIES,HOMETOWN PHARMACY #5447 (MD),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
55,ABBOTT LABORATORIES,HOMETOWN PHARMACY #5447 (MD),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
55,ABBOTT LABORATORIES,HOMETOWN PHARMACY #5447 (MD),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
56,ACTAVIS PHARMA INC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
56,ACTAVIS PHARMA INC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
56,ACTAVIS PHARMA INC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
57,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,1,0.0876,135.0,Production Reroute,Geopolitical,Consumer Goods
57,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,2,0.3241,151.0,Production Reroute,Cyber Attack,Automotive
57,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,3,0.3372,89.0,Combined Strategy,Geopolitical,Consumer Goods
58,LANNETT COMPANY INC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
58,LANNETT COMPANY INC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
58,LANNETT COMPANY INC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
59,QUALITEST PHARMACEUTICALS,SUNRISE PHARMACY #3108 (NM),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
59,QUALITEST PHARMACEUTICALS,SUNRISE PHARMACY #3108 (NM),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
59,QUALITEST PHARMACEUTICALS,SUNRISE PHARMACY #3108 (NM),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
60,MYLAN PHARMACEUTICALS INC,HOMETOWN PHARMACY #8919 (KY),2,1,1.7338,74.0,Alternative Supplier,Cyber Attack,Automotive
60,MYLAN PHARMACEUTICALS INC,HOMETOWN PHARMACY #8919 (KY),2,2,1.7771,55.0,Alternative Supplier,Natural Disaster,Electronics
60,MYLAN PHARMACEUTICALS INC,HOMETOWN PHARMACY #8919 (KY),2,3,1.9606,28.0,Alternative Supplier,Natural Disaster,Electronics
61,MALLINCKRODT LLC,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
61,MALLINCKRODT LLC,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
61,MALLINCKRODT LLC,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
62,PAR PHARMACEUTICAL INC,TUG VALLEY PHARMACY #1 (WV),4,1,0.0876,135.0,Production Reroute,Geopolitical,Consumer Goods
