manufacturer,disrupted_node,retailer,retailer_state,severity,no_listed_backup,action,entity,route,entity_risk,entity_capacity,entity_state_share,plan_score,activation_days,est_recovery_days,baseline_days_no_graph,days_saved_vs_no_graph
TEVA PHARMACEUTICALS USA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,TEVA PHARMACEUTICALS USA INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
TEVA PHARMACEUTICALS USA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,4,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,TEVA PHARMACEUTICALS USA INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,149.2,132.0,0.0
RHODES TECHNOLOGIES,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,4,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,RHODES TECHNOLOGIES -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,149.2,132.0,0.0
HIKMA PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,4,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,HIKMA PHARMACEUTICALS -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,149.2,132.0,0.0
PAR PHARMACEUTICAL INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,4,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,PAR PHARMACEUTICAL INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,149.2,132.0,0.0
QUALITEST PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,QUALITEST PHARMACEUTICALS -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
PAR PHARMACEUTICAL INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,PAR PHARMACEUTICAL INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
IMPAX LABORATORIES INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,IMPAX LABORATORIES INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
WATSON LABORATORIES INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,WATSON LABORATORIES INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
JANSSEN PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,JANSSEN PHARMACEUTICALS INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
HIKMA PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,HIKMA PHARMACEUTICALS -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
RHODES TECHNOLOGIES,BURLINGTON DRUG COMPANY INC,QUALITY CARE PHARMACY #9423 (NM),NM,3,True,T1_REROUTE_EXISTING,CARDINAL HEALTH INC,RHODES TECHNOLOGIES -> CARDINAL HEALTH INC -> QUALITY CARE PHARMACY #9423 (NM),0.8652,0.1959,0.0344,0.1099,1.5,74.3,102.0,27.6
ABBOTT LABORATORIES,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,ABBOTT LABORATORIES -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
PURDUE PHARMA LP,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,PURDUE PHARMA LP -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
ENDO PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,ENDO PHARMACEUTICALS INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
SANDOZ INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,SANDOZ INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
WATSON LABORATORIES INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,WATSON LABORATORIES INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
WATSON LABORATORIES INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,4,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,WATSON LABORATORIES INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,149.2,132.0,0.0
RHODES TECHNOLOGIES,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,4,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,RHODES TECHNOLOGIES -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,149.2,132.0,0.0
VINTAGE PHARMACEUTICALS LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,VINTAGE PHARMACEUTICALS LLC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
TEVA PHARMACEUTICALS USA INC,ANDA INC,CVS PHARMACY #9401 (NY),NY,3,True,T1_REROUTE_EXISTING,CARDINAL HEALTH INC,TEVA PHARMACEUTICALS USA INC -> CARDINAL HEALTH INC -> CVS PHARMACY #9401 (NY),0.8652,0.1959,0.0032,0.0974,1.5,74.3,102.0,27.6
MYLAN PHARMACEUTICALS INC,MORRIS & DICKSON CO LLC,SUNRISE PHARMACY #7243 (WV),WV,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,MYLAN PHARMACEUTICALS INC -> MIAMI-LUKEN INC -> SUNRISE PHARMACY #7243 (WV),0.9815,1.0,0.5743,0.4862,1.5,49.5,67.9,0.0
MYLAN PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,MYLAN PHARMACEUTICALS INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
SANDOZ INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,SANDOZ INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
VINTAGE PHARMACEUTICALS LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,VINTAGE PHARMACEUTICALS LLC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
SUN PHARMA GLOBAL INC,GULF COAST MEDICAL SUPPLY,HOMETOWN PHARMACY #8469 (NC),NC,3,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,SUN PHARMA GLOBAL INC -> MIAMI-LUKEN INC -> HOMETOWN PHARMACY #8469 (NC),0.9815,1.0,0.0471,0.2753,1.5,74.3,102.0,0.0
QUALITEST PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,QUALITEST PHARMACEUTICALS -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
HIKMA PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,4,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,HIKMA PHARMACEUTICALS -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,149.2,132.0,0.0
PAR PHARMACEUTICAL INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,PAR PHARMACEUTICAL INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
ENDO PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,4,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,ENDO PHARMACEUTICALS INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,149.2,132.0,0.0
IMPAX LABORATORIES INC,AMERISOURCEBERGEN DRUG CORP,PEOPLES PHARMACY #4809 (WV),WV,3,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,IMPAX LABORATORIES INC -> MIAMI-LUKEN INC -> PEOPLES PHARMACY #4809 (WV),0.9815,1.0,0.5743,0.4862,1.5,74.3,102.0,0.0
TEVA PHARMACEUTICALS USA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,4,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,TEVA PHARMACEUTICALS USA INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,149.2,132.0,0.0
PURDUE PHARMA LP,CARDINAL HEALTH INC,COMMUNITY PHARMACY #9436 (WV),WV,3,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,PURDUE PHARMA LP -> MIAMI-LUKEN INC -> COMMUNITY PHARMACY #9436 (WV),0.9815,1.0,0.5743,0.4862,1.5,74.3,102.0,0.0
TEVA PHARMACEUTICALS USA INC,MIAMI-LUKEN INC,CVS PHARMACY #6466 (KY),KY,4,False,T1_REROUTE_EXISTING,KINRAY LLC,TEVA PHARMACEUTICALS USA INC -> KINRAY LLC -> CVS PHARMACY #6466 (KY),0.8683,0.1632,0.0979,0.1261,1.5,99.4,132.0,0.0
ABBOTT LABORATORIES,HD SMITH WHOLESALE DRUG CO,CVS PHARMACY #3187 (KY),KY,3,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,ABBOTT LABORATORIES -> MIAMI-LUKEN INC -> CVS PHARMACY #3187 (KY),0.9815,1.0,0.0243,0.2662,1.5,74.3,102.0,0.0
ABBOTT LABORATORIES,KINRAY LLC,HOMETOWN PHARMACY #5447 (MD),MD,3,True,T1_REROUTE_EXISTING,CARDINAL HEALTH INC,ABBOTT LABORATORIES -> CARDINAL HEALTH INC -> HOMETOWN PHARMACY #5447 (MD),0.8652,0.1959,0.0087,0.0996,1.5,74.3,102.0,27.6
ACTAVIS PHARMA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,ACTAVIS PHARMA INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
HIKMA PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,4,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,HIKMA PHARMACEUTICALS -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,149.2,132.0,0.0
LANNETT COMPANY INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,LANNETT COMPANY INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
QUALITEST PHARMACEUTICALS,GULF COAST MEDICAL SUPPLY,SUNRISE PHARMACY #3108 (NM),NM,3,True,T1_REROUTE_EXISTING,KINRAY LLC,QUALITEST PHARMACEUTICALS -> KINRAY LLC -> SUNRISE PHARMACY #3108 (NM),0.8683,0.1632,0.0045,0.0887,1.5,74.3,102.0,27.6
MYLAN PHARMACEUTICALS INC,CARDINAL HEALTH INC,HOMETOWN PHARMACY #8919 (KY),KY,3,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,MYLAN PHARMACEUTICALS INC -> MIAMI-LUKEN INC -> HOMETOWN PHARMACY #8919 (KY),0.9815,1.0,0.0243,0.2662,1.5,74.3,102.0,0.0
MALLINCKRODT LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,4,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,MALLINCKRODT LLC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,149.2,132.0,0.0
PAR PHARMACEUTICAL INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,4,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,PAR PHARMACEUTICAL INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,149.2,132.0,0.0
PURDUE PHARMA LP,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,PURDUE PHARMA LP -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
HIKMA PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,4,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,HIKMA PHARMACEUTICALS -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,149.2,132.0,0.0
PAR PHARMACEUTICAL INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,PAR PHARMACEUTICAL INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
QUALITEST PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,4,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,QUALITEST PHARMACEUTICALS -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,149.2,132.0,0.0
PAR PHARMACEUTICAL INC,VALUEDRUGCO,PUBLIX PHARMACY #7101 (VA),VA,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,PAR PHARMACEUTICAL INC -> MIAMI-LUKEN INC -> PUBLIX PHARMACY #7101 (VA),0.9815,1.0,0.0162,0.2629,1.5,49.5,67.9,0.0
ACTAVIS PHARMA INC,CARDINAL HEALTH INC,KROGER PHARMACY #6614 (PA),PA,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,ACTAVIS PHARMA INC -> MIAMI-LUKEN INC -> KROGER PHARMACY #6614 (PA),0.9815,1.0,0.0219,0.2652,1.5,49.5,67.9,0.0
ABBOTT LABORATORIES,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,ABBOTT LABORATORIES -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
TEVA PHARMACEUTICALS USA INC,PENN PHARMACEUTICAL SERVICES INC,MEDICO PHARMACY #5137 (MN),MN,3,True,T1_REROUTE_EXISTING,CARDINAL HEALTH INC,TEVA PHARMACEUTICALS USA INC -> CARDINAL HEALTH INC -> MEDICO PHARMACY #5137 (MN),0.8652,0.1959,0.0057,0.0984,1.5,74.3,102.0,27.6
SUN PHARMA GLOBAL INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,4,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,SUN PHARMA GLOBAL INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,149.2,132.0,0.0
VINTAGE PHARMACEUTICALS LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,4,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,VINTAGE PHARMACEUTICALS LLC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,149.2,132.0,0.0
MALLINCKRODT LLC,MORRIS & DICKSON CO LLC,HARRIS TEETER PHARMACY #6283 (CA),CA,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,MALLINCKRODT LLC -> MIAMI-LUKEN INC -> HARRIS TEETER PHARMACY #6283 (CA),0.9815,1.0,0.0031,0.2577,1.5,49.5,67.9,0.0
MALLINCKRODT LLC,CARDINAL HEALTH INC,HOMETOWN PHARMACY #6387 (NC),NC,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,MALLINCKRODT LLC -> MIAMI-LUKEN INC -> HOMETOWN PHARMACY #6387 (NC),0.9815,1.0,0.0471,0.2753,1.5,49.5,67.9,0.0
RHODES TECHNOLOGIES,HD SMITH WHOLESALE DRUG CO,QUALITY CARE PHARMACY #6294 (VA),VA,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,RHODES TECHNOLOGIES -> MIAMI-LUKEN INC -> QUALITY CARE PHARMACY #6294 (VA),0.9815,1.0,0.0162,0.2629,1.5,49.5,67.9,0.0
MALLINCKRODT LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,4,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,MALLINCKRODT LLC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,149.2,132.0,0.0
LANNETT COMPANY INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,4,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,LANNETT COMPANY INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,149.2,132.0,0.0
IMPAX LABORATORIES INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,IMPAX LABORATORIES INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
