molecule,country,t0,pool_size,n_entrants,entrants,nameable_at_t0,top3_ours,hit1_ours,hit3_ours,hit1_pop,hit3_pop,hit1_cap,hit3_cap,p_hit1_rand,p_hit3_rand
Zidovudine,Zambia,2011-06-10,7,1,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1,Aurobindo Pharma Limited | S. BUYS WHOLESALER | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0,1,0,1,0,0,0.1429,0.4286
Lamivudine/Nevirapine/Stavudine,Zambia,2010-11-08,1,1,CIPLA LIMITED,1,CIPLA LIMITED,1,1,1,1,1,1,1.0,1.0
Lamivudine/Stavudine,Mozambique,2010-12-13,2,1,STRIDES ARCOLAB LIMITED,1,STRIDES ARCOLAB LIMITED | CIPLA LIMITED,1,1,1,1,1,1,0.5,1.0
Lopinavir/Ritonavir,Haiti,2011-04-20,6,2,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) | SYSMEX AMERICA INC,0,CIPLA LIMITED | ABBOTT LABORATORIES (PUERTO RICO) | ABBOTT LOGISTICS B.V.,0,0,0,0,0,0,0.0,0.0
Stavudine,Haiti,2010-06-09,5,2,Aurobindo Pharma Limited | LAWRENCE LABORATORIES (SUBSIDIARY OF BRISTOL MYERS SQUIBB),1,Aurobindo Pharma Limited | STRIDES ARCOLAB LIMITED | S. BUYS WHOLESALER,1,1,0,1,1,1,0.2,0.6
Efavirenz,Haiti,2010-06-09,6,5,"CIPLA LIMITED | HETERO LABS LIMITED | MICRO LABS LIMITED | MSD LATIN AMERICA SERVICES, S. DE R.L. DE C.V. | STRIDES ARCOLAB LIMITED",2,HETERO LABS LIMITED | EMCURE PHARMACEUTICALS LTD | CIPLA LIMITED,1,1,0,0,1,1,0.3333,0.8
Zidovudine,Haiti,2010-01-27,4,2,CIPLA LIMITED | HETERO LABS LIMITED,0,"S. BUYS WHOLESALER | JSI R&T INSTITUTE, INC. | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES)",0,0,0,0,0,0,0.0,0.0
Lamivudine/Nevirapine/Zidovudine,Uganda,2010-01-22,2,2,CIPLA LIMITED | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) | Aurobindo Pharma Limited,1,1,0,1,1,1,0.5,1.0
Nevirapine,Haiti,2010-01-27,5,3,Aurobindo Pharma Limited | HETERO LABS LIMITED | MICRO LABS LIMITED,2,STRIDES ARCOLAB LIMITED | S. BUYS WHOLESALER | HETERO LABS LIMITED,0,1,0,1,0,1,0.4,0.9
Efavirenz,South Africa,2009-09-30,6,4,Aurobindo Pharma Limited | EMCURE PHARMACEUTICALS LTD | HETERO LABS LIMITED | PHARMACY DIRECT,2,HETERO LABS LIMITED | CIPLA LIMITED | SCMS from RDC,1,1,0,1,1,1,0.3333,0.8
Nevirapine,South Africa,2010-06-10,3,3,CIPLA LIMITED | PHARMACY DIRECT | STRIDES ARCOLAB LIMITED,1,STRIDES ARCOLAB LIMITED | SCMS from RDC | HETERO LABS LIMITED,1,1,0,1,1,1,0.3333,1.0
Zidovudine,South Africa,2008-07-14,3,2,Aurobindo Pharma Limited | PHARMACY DIRECT,1,SCMS from RDC | Aurobindo Pharma Limited | SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),0,1,0,1,0,1,0.3333,1.0
Lamivudine,South Africa,2008-07-14,4,5,AUROBINDO PHARAM (SOUTH AFRICA) | Aurobindo Pharma Limited | CIPLA LIMITED | PHARMACY DIRECT | STRIDES ARCOLAB LIMITED,2,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED) | SCMS from RDC | Aurobindo Pharma Limited,0,1,0,1,0,1,0.5,1.0
Lopinavir/Ritonavir,South Africa,2009-08-05,3,2,"PHARMACY DIRECT | RAININ INSTRUMENT, LLC.",0,SCMS from RDC | ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV) | INTERNATIONAL HEALTHCARE DISTRIBUTORS,0,0,0,0,0,0,0.0,0.0
Tenofovir Disoproxil Fumarate,South Africa,2009-08-12,5,3,Aurobindo Pharma Limited | CIPLA LIMITED | PHARMACY DIRECT,0,SCMS from RDC | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) | CENTRAL PHARMACEUTICAL COMPANY NO. 1,0,0,0,0,0,0,0.0,0.0
Lamivudine,Haiti,2010-06-09,8,3,Aurobindo Pharma Limited | HETERO LABS LIMITED | MICRO LABS LIMITED,2,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED) | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) | AUROBINDO PHARAM (SOUTH AFRICA),0,0,0,1,0,0,0.25,0.6429
Lamivudine/Zidovudine,Haiti,2010-06-01,3,4,Aurobindo Pharma Limited | CIPLA LIMITED | HETERO LABS LIMITED | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),3,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) | Aurobindo Pharma Limited | CIPLA LIMITED,1,1,1,1,1,1,1.0,1.0
Didanosine,Haiti,2010-10-07,2,1,LAWRENCE LABORATORIES (SUBSIDIARY OF BRISTOL MYERS SQUIBB),0,"S. BUYS WHOLESALER | JSI R&T INSTITUTE, INC.",0,0,0,0,0,0,0.0,0.0
Abacavir,Haiti,2010-06-09,5,3,Aurobindo Pharma Limited | CIPLA LIMITED | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),3,CIPLA LIMITED | Aurobindo Pharma Limited | S. BUYS WHOLESALER,1,1,1,1,1,1,0.6,1.0
Didanosine,South Africa,2008-04-25,3,1,PHARMACY DIRECT,0,SCMS from RDC | BRISTOL-MYERS SQUIBB | Aurobindo Pharma Limited,0,0,0,0,0,0,0.0,0.0
Abacavir,South Africa,2011-03-17,4,3,Aurobindo Pharma Limited | GLAXOSMITHKLINE EXPORT LIMITED | PHARMACY DIRECT,2,SCMS from RDC | Aurobindo Pharma Limited | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0,1,0,1,0,1,0.5,1.0
Indinavir,Haiti,2010-03-03,1,1,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),1,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),1,1,1,1,1,1,1.0,1.0
Lamivudine/Tenofovir Disoproxil Fumarate,Nigeria,2010-05-18,1,1,HETERO LABS LIMITED,0,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0,0,0,0,0,0,0.0,0.0
Emtricitabine/Tenofovir Disoproxil Fumarate,Tanzania,2013-04-02,5,1,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0,"Aurobindo Pharma Limited | S. BUYS WHOLESALER | GILEAD SCIENCES IRELAND, INC.",0,0,0,0,0,0,0.0,0.0
Emtricitabine/Tenofovir Disoproxil Fumarate,Guyana,2010-04-28,3,1,HETERO LABS LIMITED,0,"GILEAD SCIENCES IRELAND, INC. | S. BUYS WHOLESALER | JSI R&T INSTITUTE, INC.",0,0,0,0,0,0,0.0,0.0
Lamivudine/Tenofovir Disoproxil Fumarate,Uganda,2011-07-14,2,2,CIPLA LIMITED | HETERO LABS LIMITED,1,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) | HETERO LABS LIMITED,0,1,0,1,1,1,0.5,1.0
Lamivudine/Tenofovir Disoproxil Fumarate,Rwanda,2012-01-25,1,1,SCMS from RDC,1,SCMS from RDC,1,1,1,1,1,1,1.0,1.0
Lopinavir/Ritonavir,Ethiopia,2010-12-09,7,2,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV) | Aurobindo Pharma Limited,2,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV) | ABBOTT LABORATORIES (PUERTO RICO) | Aurobindo Pharma Limited,1,1,1,1,0,1,0.2857,0.7143
Lopinavir/Ritonavir,Dominican Republic,2010-12-14,7,2,"ABBVIE, SRL (FORMALLY ABBOTT LABORATORIES INTERNATIONAL CO.) | Aurobindo Pharma Limited",1,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV) | ABBOTT LABORATORIES (PUERTO RICO) | Aurobindo Pharma Limited,0,1,0,1,0,1,0.1429,0.4286
Lamivudine/Tenofovir Disoproxil Fumarate,Zimbabwe,2011-06-15,2,3,Aurobindo Pharma Limited | CIPLA LIMITED | HETERO LABS LIMITED,1,HETERO LABS LIMITED | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1,1,0,1,1,1,0.5,1.0
Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Zambia,2011-08-05,2,1,Aurobindo Pharma Limited,0,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) | MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),0,0,0,0,0,0,0.0,0.0
Lamivudine/Nevirapine/Zidovudine,Zimbabwe,2011-05-20,3,1,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) | Aurobindo Pharma Limited | STRIDES ARCOLAB LIMITED,1,1,0,1,1,1,0.3333,1.0
Lamivudine/Zidovudine,Ghana,2011-07-15,4,1,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1,HETERO LABS LIMITED | Aurobindo Pharma Limited | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0,1,0,1,0,1,0.25,0.75
Nevirapine,Ghana,2011-07-20,7,1,Aurobindo Pharma Limited,1,STRIDES ARCOLAB LIMITED | CIPLA LIMITED | HETERO LABS LIMITED,0,0,1,1,0,0,0.1429,0.4286
Lamivudine/Nevirapine/Zidovudine,Tanzania,2013-09-10,4,2,CIPLA LIMITED | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),2,CIPLA LIMITED | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) | STRIDES ARCOLAB LIMITED,1,1,1,1,1,1,0.5,1.0
Lamivudine/Zidovudine,"Congo, DRC",2012-01-03,4,1,CIPLA LIMITED,1,Aurobindo Pharma Limited | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) | CIPLA LIMITED,0,1,0,1,0,1,0.25,0.75
Nevirapine,"Congo, DRC",2012-02-14,7,1,Aurobindo Pharma Limited,1,STRIDES ARCOLAB LIMITED | CIPLA LIMITED | Aurobindo Pharma Limited,0,1,1,1,0,0,0.1429,0.4286
Lamivudine/Nevirapine/Zidovudine,"Congo, DRC",2012-02-14,3,2,CIPLA LIMITED | STRIDES ARCOLAB LIMITED,1,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) | STRIDES ARCOLAB LIMITED | Aurobindo Pharma Limited,0,1,0,1,0,1,0.3333,1.0
Lopinavir/Ritonavir,"Congo, DRC",2012-02-14,8,1,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),1,CIPLA LIMITED | ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV) | Aurobindo Pharma Limited,0,1,1,1,0,0,0.125,0.375
Lamivudine/Zidovudine,South Sudan,2014-10-15,6,1,CIPLA LIMITED,1,Aurobindo Pharma Limited | HETERO LABS LIMITED | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0,0,0,0,0,0,0.1667,0.5
Lamivudine/Nevirapine/Zidovudine,Haiti,2012-03-12,3,5,Aurobindo Pharma Limited | CIPLA LIMITED | HETERO LABS LIMITED | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) | STRIDES ARCOLAB LIMITED,3,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) | STRIDES ARCOLAB LIMITED | Aurobindo Pharma Limited,1,1,1,1,1,1,1.0,1.0
Zidovudine,"Congo, DRC",2012-03-23,7,1,Aurobindo Pharma Limited,1,Aurobindo Pharma Limited | S. BUYS WHOLESALER | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1,1,0,1,1,1,0.1429,0.4286
Lamivudine,"Congo, DRC",2014-02-08,10,1,MICRO LABS LIMITED,1,STRIDES ARCOLAB LIMITED | Aurobindo Pharma Limited | S. BUYS WHOLESALER,0,0,0,0,0,0,0.1,0.3
Lamivudine/Nevirapine/Zidovudine,Cameroon,2013-07-31,4,1,Aurobindo Pharma Limited,1,STRIDES ARCOLAB LIMITED | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) | Aurobindo Pharma Limited,0,1,1,1,0,0,0.25,0.75
Efavirenz,Cameroon,2013-07-31,10,2,HETERO LABS LIMITED | STRIDES ARCOLAB LIMITED,2,Aurobindo Pharma Limited | EMCURE PHARMACEUTICALS LTD | CIPLA LIMITED,0,0,0,0,0,0,0.2,0.5333
Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Cameroon,2013-07-31,1,2,Aurobindo Pharma Limited | HETERO LABS LIMITED,1,HETERO LABS LIMITED,1,1,1,1,1,1,1.0,1.0
Lamivudine/Zidovudine,Cameroon,2013-07-31,5,1,CIPLA LIMITED,1,Aurobindo Pharma Limited | CIPLA LIMITED | HETERO LABS LIMITED,0,1,0,0,1,1,0.2,0.6
Nevirapine,Cameroon,2013-10-26,7,1,HETERO LABS LIMITED,1,STRIDES ARCOLAB LIMITED | MICRO LABS LIMITED | CIPLA LIMITED,0,0,0,1,0,0,0.1429,0.4286
Didanosine,"Congo, DRC",2013-08-08,6,1,Aurobindo Pharma Limited,1,Aurobindo Pharma Limited | BRISTOL-MYERS SQUIBB | LAWRENCE LABORATORIES (SUBSIDIARY OF BRISTOL MYERS SQUIBB),1,1,0,1,1,1,0.1667,0.5
